Fine_Map,cell_count
Suprabasal Keratinocyte,38786
CFD+ Secretory fibroblasts,36622
CD69+ IL7R+ Tissue-resident memory T Cell,33401
CD8+ Cytotoxic T/NK Cells,27761
cDC2 Dendritic Cell,25309
PECAM1+ Blood vascular Endothelial Cell,24466
Regulatory T Cell,23100
Smooth Muscle Cell,21733
COL17A1+ KRT14+ Basal Keratinocyte,20368
KRT1 KRT10+ Spinous Keratinocyte,18424
Melanocyte,15388
KRTDAP+ DMKN+ Spinous Keratinocyte,14523
IL7R+ Naive CD4 T Cell,14018
SPP1+ Inflammatory Macrophage,13534
Stress Keratinocyte,10735
Resident T Cell,10226
Cycling T Cell,8980
Matrix Remodeling Fibroblasts,7956
Mast Cell,7444
S100A2+ Proliferating Keratinocyte,3178
B Cell,3150
Hair Follicle Outer Root Sheath Keratinocyte,3130
Langerhans Cell,3063
KIR3DL2+ NK/T Cell,2836
Plasma Cell,2717
Lymphatic Endothelial Cell,2158
Hair Follicle Keratinocyte,2052
Eccrine Sweat Gland Cell,2022
IFN-activated Basal Keratinocyte,1895
SPP1+ Inflammatory Macrophages,1758
ACKR1+ Post-Capillary Venule Endothelial Cell,1477
cDC1 Dendritic Cell,1050
FCN1+ Monocyte,929
Schwann Cell,655
KRT2+ SLURP1+ Granular Keratinocyte,166
Sebocyte,159
Unknown,122
ACTA2+ Myoepithelial-like Keratinocyte,57
MKI67+ Granular Keratinocyte,54
Erythrocyte,46
MHC-II+ Stressed Suprabasal Keratinocyte,18
LOR+ Cornified Keratinocyte,18
