batch,cell_count
GSE193304_GSM5788496,24852
GSE193304_GSM5788494,13290
GSE193304_GSM5788500,11709
GSE237754_GSM7648533,10901
GSE242477_GSM7764406,10689
GSE181297_GSM5494438,9854
GSE248121_GSM7906174,8209
GSE175990_GSM5352392,7990
GSE175990_GSM5352394,7812
GSE193304_GSM5788499,7685
GSE242477_GSM7764412,7104
GSE237754_GSM7648532,7017
GSE242477_GSM7764408,7015
GSE212447_GSM6532926,6641
GSE212447_GSM6532919,6449
GSE132802_GSM3892569,6342
GSE248121_GSM7906176,6300
GSE212447_GSM6532928,6242
GSE248121_GSM7906171,6047
GSE193304_GSM5788491,5998
HRA000166_HRR060116,5789
GSE212447_GSM6532921,5699
GSE193304_GSM5788495,5395
GSE193304_GSM5788497,5367
GSE158924_GSM4815804,5293
GSE248121_GSM7906173,5104
GSE248121_GSM7906169,4918
GSE212447_GSM6532922,4863
GSE158924_GSM4815800,4775
GSE173252_GSM5264348,4678
GSE193304_GSM5788492,4498
GSE212447_GSM6532924,4417
GSE195674_GSM5847946,4291
GSE173252_GSM5264349,4128
GSE249622_GSM7951926,4061
GSE248121_GSM7906175,4056
GSE212447_GSM6532920,3978
HRA000166_HRR060142,3882
GSE248121_GSM7906170,3809
GSE158924_GSM4815802,3738
GSE242477_GSM7764410,3460
HRA000166_HRR060134,3420
GSE130973_GSM3758115,3414
GSE249622_GSM7951930,3310
GSE212447_GSM6532925,3207
GSE158924_GSM4815805,3092
GSE173252_GSM5264341,3068
GSE130973_GSM3758119,2942
GSE173252_GSM5264347,2807
HRA000166_HRR060115,2804
GSE193304_GSM5788493,2673
HRA000166_HRR060114,2639
GSE175990_GSM5352395,2635
GSE212447_GSM6532923,2559
GSE249622_GSM7951936,2443
GSE173252_GSM5264345,2406
GSE249793_GSM7964422,2346
GSE130973_GSM3758117,2334
GSE249793_GSM7964423,2328
GSE175990_GSM5352393,2224
GSE155850_GSM7754890,2214
GSE249622_GSM7951932,2134
GSE179565_GSM5420670,2131
HRA000166_HRR060136,2075
GSE173252_GSM5264342,2048
GSE249622_GSM7951938,2015
GSE233137_GSM7401928,2011
GSE248121_GSM7906168,1950
GSE212447_GSM6532927,1934
GSE132802_GSM3892580,1933
GSE249622_GSM7951927,1862
GSE173252_GSM5264344,1849
HRA000166_HRR060140,1702
GSE245859_GSM7849998,1690
GSE249793_GSM7964424,1639
GSE249793_GSM7964420,1629
HRA000166_HRR060128,1620
GSE132802_GSM3892582,1597
GSE132802_GSM3892579,1578
HRA000166_HRR060138,1574
GSE245859_GSM7849999,1401
GSE249622_GSM7951931,1333
GSE193304_GSM5788501,1301
GSE130973_GSM3758116,1294
GSE242477_GSM7764411,1216
GSE275846_GSM8486560,1179
GSE248121_GSM7906167,1173
GSE158924_GSM4815801,1172
GSE275846_GSM8486561,1151
GSE193304_GSM5788503,1138
HRA000166_HRR060122,1104
GSE213849_GSM6595210,994
GSE155850_GSM7754889,991
GSE275846_GSM8486558,980
HRA000166_HRR060118,978
HRA000166_HRR060130,975
GSE132802_GSM3892581,952
GSE248121_GSM7906172,945
GSE203034_GSM6152838,931
HRA000166_HRR060124,890
GSE158924_GSM4815803,864
GSE275846_GSM8486564,834
GSE173252_GSM5264346,799
GSE233137_GSM7401927,796
GSE275846_GSM8486557,782
GSE275846_GSM8486562,775
GSE275846_GSM8486559,765
GSE132802_GSM3892578,760
GSE213849_GSM6595209,719
GSE155850_GSM7754887,706
GSE249622_GSM7951937,694
GSE249622_GSM7951925,633
GSE193304_GSM5788498,626
GSE213849_GSM6595206,610
GSE203262_GSM6165459,605
GSE203262_GSM6165463,594
GSE213849_GSM6595211,588
GSE213849_GSM6595212,583
GSE203262_GSM6165465,543
GSE213849_GSM6595219,512
HRA000166_HRR060132,512
GSE203262_GSM6165460,482
GSE213849_GSM6595215,478
GSE203262_GSM6165462,443
GSE249622_GSM7951934,423
GSE213849_GSM6595205,409
GSE213849_GSM6595217,408
GSE132802_GSM3892577,408
GSE213849_GSM6595208,385
GSE213849_GSM6595220,382
GSE249622_GSM7951935,375
GSE203262_GSM6165464,356
GSE213849_GSM6595218,356
