Fine_Map,cell_count
Ctss+ Lyz2+ Macrophage,93961
Krt5+ Krt14+ Basal Keratinocyte,66893
Ccl27a+ Pre-granular Suprabasal Keratinocyte,52703
Sprr1a+ Krt17+ Prolif Suprabasal Keratinocyte,52640
Dcn+ Fstl1+ Col1a2+ Dermal Fibroblast,50032
Krt1+ Krt10+ Spinous Suprabasal Keratinocyte,48771
Bulge Hair-Follicle Stem Cell,44132
S100a9+ S100a8+ Neutrophil,39495
Krt6a+ Krt14+ Metabolically Active Basal Keratinocyte,38010
Skap1+ Itk+ T Cell,34602
Dcn+ Lum+ Dermal Fibroblast,28265
Fbn2+ Mfap2+ Papillary Dermal Fibroblast,27434
cDC2 Dendritic Cell,20514
Krt25/28+ Dlx3+ Lef1+ Inner Root Sheath Cell,19467
Crabp1+ Hmga2+ Prrx1+ Wound-Activated Fibroblast,18909
Prrx1+ Ebf1+ Fibroblast Progenitor,13930
Dcn+ Pi16+ Fibroblast,12562
Hair Follicle Progenitor,11253
Vascular Endothelial Cell,11062
Sprr1a+ Krt16+ Granular Suprabasal Keratinocyte,10294
Vascular Smooth Muscle Cell,10281
Melanocyte,10096
Mast Cell,9181
Langerhans Cell,8638
Schwann cells,8592
Proliferating Cell,8374
Sebaceous Gland Cell,7377
Gamma-delta T Cell,6414
Lymphatic Endothelial Cell,5416
Skeletal Muscle Progenitor,4939
Adgre1+ Itgam+ Dermal Inf Macrophage,4172
B Cell,2809
cDC1 Dendritic Cell,2584
Krt17+ Krt6a+ Migratory Keratinocyte,2187
Sensory Neuron,2035
Apod+ Ebf2+ Igfbp6+ Preadipocyte-like Dermal Fibroblast,1867
Skeletal Muscle Cell,1743
Basophil,953
Erythrocyte,907
Lce1+ Lor+ Cornified Keratinocyte_2,518
Krt16+ Sprr1b+ Activated Keratinocyte,349
Lst1+ Fcer1g+ Monocyte,243
Lce1+ Lor+ Cornified Keratinocyte_1,111
Sprr+ Rptn+ Cornified IFE,30
Neutrophils (Erythroid marker mix),21
