batch,cell_count
GSE213528_GSM6588785,31176
GSE213528_GSM6588787,30561
GSE213528_GSM6588784,29743
GSE213528_GSM6588786,25275
GSE234269_GSM7461431,23248
GSE210224_GSM6423813,15992
GSE211279_GSM6460378,15284
CRA028265_SAMC5706930,14332
GSE189210_GSM5696148,13240
GSE272509_GSM8403737,12501
GSE272509_GSM8403738,12401
GSE261766_GSM8150930,12061
CRA028265_SAMC5706929,11496
GSE196677_GSM5898070,11191
GSE158691_GSM4805563,10726
GSE146122_GSM4378542,10471
GSE261766_GSM8150928,10396
GSE196677_GSM5898069,10165
GSE261766_GSM8150929,10139
GSE165021_GSM5024749,10134
GSE269455_GSM8316002,10076
CRA028974_SAMC5773651,9972
GSE146122_GSM4378540,9956
GSE269455_GSM8316003,9737
GSE158691_GSM4805558,9683
CRA028974_SAMC5773650,9680
CRA028974_SAMC5773657,9543
GSE205020_GSM6204201,9387
GSE210224_GSM6423815,9002
CRA028974_SAMC5773656,8913
GSE165021_GSM5024746,8883
GSE165021_GSM5024747,8839
GSE230512_GSM7225686,8783
GSE165021_GSM5024750,8576
GSE261766_GSM8150926,8125
GSE158691_GSM4805560,8090
CRA004660_SAMC438601,7873
CRA028974_SAMC5773655,7849
GSE165021_GSM5024748,7741
GSE165021_GSM5024751,7222
GSE261766_GSM8150927,7070
CRA028974_SAMC5773654,6995
GSE230512_GSM7225689,6813
CRA006512_SAMC703634,6768
GSE210224_GSM6423818,6632
GSE210224_GSM6423812,6556
CRA006512_SAMC703636,6552
CRA028974_SAMC5773653,6548
GSE269455_GSM8316001,6427
CRA004660_SAMC438600,6417
GSE210224_GSM6423822,6409
GSE122043_GSM3453536,6402
GSE223660_GSM6970228,6401
GSE122043_GSM3453538,6392
GSE261227_GSM8138121,6342
GSE210224_GSM6423811,6236
CRA006512_SAMC703638,6187
CRA006512_SAMC703635,6083
CRA006512_SAMC703639,6022
CRA006512_SAMC703640,5940
CRA004660_SAMC438603,5804
CRA006512_SAMC703637,5649
CRA028974_SAMC5773652,5638
GSE210224_GSM6423816,5528
GSE210224_GSM6423819,5449
GSE261766_GSM8150923,5385
GSE211381_GSM6468132,5283
GSE234269_GSM7461430,4911
GSE210224_GSM6423820,4676
GSE211381_GSM6468131,4619
GSE210224_GSM6423821,4325
GSE211810_GSM6502671,4290
GSE211381_GSM6468127,4289
GSE261227_GSM8138118,4225
GSE236918_GSM7585467,4030
CRA004660_SAMC438602,4024
GSE261766_GSM8150936,3826
GSE210224_GSM6423814,3692
GSE261766_GSM8150940,3190
GSE261227_GSM8138120,3106
GSE236918_GSM7585468,3046
GSE261227_GSM8138119,2991
GSE153596_GSM4647787,2897
GSE212673_GSM6543171,2851
GSE261766_GSM8150932,2814
GSE236918_GSM7585470,2736
GSE153596_GSM4647788,2626
GSE261766_GSM8150924,2562
GSE210224_GSM6423817,2546
GSE211810_GSM6502673,2474
GSE211381_GSM6468129,2474
GSE261766_GSM8150933,2431
GSE211381_GSM6468128,2407
GSE211810_GSM6502672,2407
GSE153596_GSM4647785,2270
GSE261766_GSM8150937,2257
GSE261766_GSM8150931,2200
GSE261766_GSM8150934,2171
GSE212673_GSM6543170,2141
GSE212673_GSM6543169,2035
GSE261766_GSM8150922,1951
GSE153596_GSM4647786,1941
GSE261766_GSM8150925,1924
GSE153596_GSM4647789,1853
GSE261766_GSM8150935,1796
GSE153596_GSM4647790,1712
GSE230512_GSM7225688,1699
GSE236918_GSM7585469,1599
GSE261766_GSM8150947,1517
GSE261766_GSM8150946,1275
GSE261766_GSM8150944,1244
GSE261766_GSM8150938,1063
GSE211381_GSM6468130,1043
GSE211810_GSM6502674,1043
GSE146122_GSM4378541,916
GSE261766_GSM8150941,907
GSE230512_GSM7225687,580
GSE205020_GSM6204200,390
GSE196677_GSM5898068,384
